,sql,excel,access,python,java,hadoop,tableau,matlab,spark,microsoft,oracl,vba,hive,spss,mysql,pig,stata,sqlserver,r,sas,degree,year_group
208,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,master,less than 2
209,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,bachelor,3-5
210,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,phd,less than 2
211,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
212,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,master,3-5
213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bachelor,less than 2
214,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
215,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
217,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,bachelor,less than 2
218,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,phd,less than 2
219,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bachelor,less than 2
220,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,phd,less than 2
221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
222,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,phd,less than 2
223,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bachelor,less than 2
224,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,master,less than 2
225,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,phd,less than 2
226,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,master,less than 2
